team,home_win_rate,home_draw_rate,home_loss_rate
Rhodes,72.72727272727273,9.090909090909092,18.181818181818183
Romani people,33.33333333333333,0.0,66.66666666666666
Romania,57.30027548209367,22.03856749311295,20.66115702479339
Russia,61.702127659574465,23.10030395136778,15.19756838905775
Rwanda,40.41095890410959,31.506849315068493,28.08219178082192
Ryūkyū,0.0,0.0,100.0
Réunion,50.74626865671642,13.432835820895523,35.82089552238806
Saare County,26.666666666666668,0.0,73.33333333333333
Saarland,0.0,33.33333333333333,66.66666666666666
Saint Barthélemy,57.14285714285714,0.0,42.857142857142854
Saint Helena,0.0,0.0,100.0
Saint Kitts and Nevis,47.61904761904761,22.22222222222222,30.158730158730158
Saint Lucia,44.339622641509436,15.09433962264151,40.56603773584906
Saint Martin,53.84615384615385,7.6923076923076925,38.46153846153847
Saint Pierre and Miquelon,0.0,0.0,100.0
Saint Vincent and the Grenadines,48.113207547169814,17.92452830188679,33.9622641509434
Samoa,48.717948717948715,7.6923076923076925,43.58974358974359
San Marino,1.7543859649122806,6.140350877192982,92.10526315789474
Sark,0.0,0.0,100.0
Saudi Arabia,54.39814814814815,22.22222222222222,23.37962962962963
Saugeais,0.0,100.0,0.0
Scotland,55.63549160671462,21.58273381294964,22.781774580335732
Sealand,28.57142857142857,28.57142857142857,42.857142857142854
Seborga,0.0,0.0,100.0
Senegal,61.648745519713266,24.372759856630825,13.978494623655912
Serbia,54.074074074074076,25.925925925925924,20.0
Seychelles,25.925925925925924,16.049382716049383,58.0246913580247
Shetland,58.333333333333336,20.833333333333336,20.833333333333336
Sierra Leone,50.79365079365079,26.984126984126984,22.22222222222222
Silesia,37.5,25.0,37.5
Singapore,40.65040650406504,21.40921409214092,37.94037940379404
Sint Maarten,40.74074074074074,18.51851851851852,40.74074074074074
Slovakia,46.42857142857143,27.380952380952383,26.190476190476193
Slovenia,43.87096774193549,23.225806451612904,32.903225806451616
Solomon Islands,55.44554455445545,13.861386138613863,30.693069306930692
Somalia,12.244897959183673,14.285714285714285,73.46938775510205
Somaliland,33.33333333333333,33.33333333333333,33.33333333333333
South Africa,51.578947368421055,32.280701754385966,16.140350877192983
